"age","year","offence","no"
"18",2011,"Homicide and related offences",11
"18",2011,"Acts intended to cause injury",100
"18",2011,"Sexual assault and related offences",12
"18",2011,"Robbery, extortion and related offences",77
"18",2011,"Unlawful entry with intent",63
"18",2011,"Illicit drug offences",0
"18",2011,"Theft and related offences",20
"18",2011,"Miscellaneous offences",53
"18",2012,"Homicide and related offences",6
"18",2012,"Acts intended to cause injury",86
"18",2012,"Sexual assault and related offences",14
"18",2012,"Robbery, extortion and related offences",58
"18",2012,"Unlawful entry with intent",69
"18",2012,"Theft and related offences",15
"18",2012,"Illicit drug offences",4
"18",2012,"Offences against justice procedures",18
"18",2012,"Miscellaneous offences",23
"18",2013,"Homicide and related offences",5
"18",2013,"Acts intended to cause injury",94
"18",2013,"Sexual assault and related offences",12
"18",2013,"Dangerous or negligent acts endangering persons",10
"18",2013,"Abduction, harassment and other offences against the person",0
"18",2013,"Robbery, extortion and related offences",57
"18",2013,"Unlawful entry with intent",73
"18",2013,"Theft and related offences",12
"18",2013,"Fraud, deception and related offences",0
"18",2013,"Illicit drug offences",5
"18",2013,"Prohibited and regulated weapons and explosives offences",3
"18",2013,"Property damage and environmental pollution",3
"18",2013,"Public order offences",3
"18",2013,"Traffic and vehicle regulatory offences",3
"18",2013,"Offences against justice procedures",20
"18",2013,"Miscellaneous offences",0
"18",2014,"Homicide and related offences",6
"18",2014,"Acts intended to cause injury",95
"18",2014,"Sexual assault and related offences",19
"18",2014,"Dangerous or negligent acts endangering persons",17
"18",2014,"Abduction, harassment and other offences against the person",0
"18",2014,"Robbery, extortion and related offences",53
"18",2014,"Unlawful entry with intent",84
"18",2014,"Theft and related offences",17
"18",2014,"Fraud, deception and related offences",3
"18",2014,"Illicit drug offences",3
"18",2014,"Prohibited and regulated weapons and explosives offences",0
"18",2014,"Property damage and environmental pollution",7
"18",2014,"Public order offences",3
"18",2014,"Traffic and vehicle regulatory offences",0
"18",2014,"Offences against justice procedures",22
"18",2014,"Miscellaneous offences",0
"18",2015,"Homicide and related offences",7
"18",2015,"Acts intended to cause injury",75
"18",2015,"Sexual assault and related offences",26
"18",2015,"Dangerous or negligent acts endangering persons",12
"18",2015,"Abduction, harassment and other offences against the person",3
"18",2015,"Robbery, extortion and related offences",58
"18",2015,"Unlawful entry with intent",78
"18",2015,"Theft and related offences",21
"18",2015,"Fraud, deception and related offences",0
"18",2015,"Illicit drug offences",10
"18",2015,"Prohibited and regulated weapons and explosives offences",8
"18",2015,"Property damage and environmental pollution",6
"18",2015,"Public order offences",0
"18",2015,"Traffic and vehicle regulatory offences",0
"18",2015,"Offences against justice procedures",16
"18",2015,"Miscellaneous offences",0
"18",2016,"Homicide and related offences",7
"18",2016,"Acts intended to cause injury",81
"18",2016,"Sexual assault and related offences",11
"18",2016,"Dangerous or negligent acts endangering persons",12
"18",2016,"Abduction, harassment and other offences against the person",4
"18",2016,"Robbery, extortion and related offences",35
"18",2016,"Unlawful entry with intent",64
"18",2016,"Theft and related offences",14
"18",2016,"Fraud, deception and related offences",0
"18",2016,"Illicit drug offences",4
"18",2016,"Prohibited and regulated weapons and explosives offences",4
"18",2016,"Property damage and environmental pollution",4
"18",2016,"Public order offences",0
"18",2016,"Traffic and vehicle regulatory offences",0
"18",2016,"Offences against justice procedures",24
"18",2016,"Miscellaneous offences",0
"18",2017,"Homicide and related offences",5
"18",2017,"Acts intended to cause injury",89
"18",2017,"Sexual assault and related offences",13
"18",2017,"Dangerous or negligent acts endangering persons",23
"18",2017,"Abduction, harassment and other offences against the person",4
"18",2017,"Robbery, extortion and related offences",48
"18",2017,"Unlawful entry with intent",75
"18",2017,"Theft and related offences",16
"18",2017,"Fraud, deception and related offences",4
"18",2017,"Illicit drug offences",9
"18",2017,"Prohibited and regulated weapons and explosives offences",3
"18",2017,"Property damage and environmental pollution",5
"18",2017,"Public order offences",3
"18",2017,"Traffic and vehicle regulatory offences",0
"18",2017,"Offences against justice procedures",7
"18",2017,"Miscellaneous offences",0
"18",2018,"Homicide and related offences",5
"18",2018,"Acts intended to cause injury",81
"18",2018,"Sexual assault and related offences",21
"18",2018,"Dangerous or negligent acts endangering persons",17
"18",2018,"Abduction, harassment and other offences against the person",3
"18",2018,"Robbery, extortion and related offences",59
"18",2018,"Unlawful entry with intent",68
"18",2018,"Theft and related offences",11
"18",2018,"Fraud, deception and related offences",3
"18",2018,"Illicit drug offences",9
"18",2018,"Prohibited and regulated weapons and explosives offences",0
"18",2018,"Property damage and environmental pollution",4
"18",2018,"Public order offences",3
"18",2018,"Traffic and vehicle regulatory offences",0
"18",2018,"Offences against justice procedures",13
"18",2018,"Miscellaneous offences",0
"18",2019,"Homicide and related offences",12
"18",2019,"Acts intended to cause injury",57
"18",2019,"Sexual assault and related offences",20
"18",2019,"Dangerous or negligent acts endangering persons",9
"18",2019,"Abduction, harassment and other offences against the person",0
"18",2019,"Robbery, extortion and related offences",45
"18",2019,"Unlawful entry with intent",49
"18",2019,"Theft and related offences",7
"18",2019,"Fraud, deception and related offences",4
"18",2019,"Illicit drug offences",9
"18",2019,"Prohibited and regulated weapons and explosives offences",7
"18",2019,"Property damage and environmental pollution",3
"18",2019,"Public order offences",0
"18",2019,"Traffic and vehicle regulatory offences",0
"18",2019,"Offences against justice procedures",5
"18",2019,"Miscellaneous offences",0
"18",2020,"Homicide and related offences",7
"18",2020,"Acts intended to cause injury",66
"18",2020,"Sexual assault and related offences",11
"18",2020,"Dangerous or negligent acts endangering persons",5
"18",2020,"Abduction, harassment and other offences against the person",3
"18",2020,"Robbery, extortion and related offences",46
"18",2020,"Unlawful entry with intent",39
"18",2020,"Theft and related offences",3
"18",2020,"Fraud, deception and related offences",0
"18",2020,"Illicit drug offences",5
"18",2020,"Prohibited and regulated weapons and explosives offences",0
"18",2020,"Property damage and environmental pollution",8
"18",2020,"Public order offences",0
"18",2020,"Traffic and vehicle regulatory offences",0
"18",2020,"Offences against justice procedures",10
"18",2020,"Miscellaneous offences",0
"19",2011,"Homicide and related offences",17
"19",2011,"Acts intended to cause injury",158
"19",2011,"Sexual assault and related offences",17
"19",2011,"Robbery, extortion and related offences",139
"19",2011,"Unlawful entry with intent",101
"19",2011,"Illicit drug offences",19
"19",2011,"Theft and related offences",18
"19",2011,"Miscellaneous offences",117
"19",2012,"Homicide and related offences",24
"19",2012,"Acts intended to cause injury",169
"19",2012,"Sexual assault and related offences",23
"19",2012,"Robbery, extortion and related offences",140
"19",2012,"Unlawful entry with intent",98
"19",2012,"Theft and related offences",21
"19",2012,"Illicit drug offences",17
"19",2012,"Offences against justice procedures",46
"19",2012,"Miscellaneous offences",45
"19",2013,"Homicide and related offences",18
"19",2013,"Acts intended to cause injury",135
"19",2013,"Sexual assault and related offences",15
"19",2013,"Dangerous or negligent acts endangering persons",24
"19",2013,"Abduction, harassment and other offences against the person",5
"19",2013,"Robbery, extortion and related offences",129
"19",2013,"Unlawful entry with intent",111
"19",2013,"Theft and related offences",22
"19",2013,"Fraud, deception and related offences",4
"19",2013,"Illicit drug offences",15
"19",2013,"Prohibited and regulated weapons and explosives offences",7
"19",2013,"Property damage and environmental pollution",13
"19",2013,"Public order offences",3
"19",2013,"Traffic and vehicle regulatory offences",5
"19",2013,"Offences against justice procedures",32
"19",2013,"Miscellaneous offences",0
"19",2014,"Homicide and related offences",15
"19",2014,"Acts intended to cause injury",160
"19",2014,"Sexual assault and related offences",18
"19",2014,"Dangerous or negligent acts endangering persons",31
"19",2014,"Abduction, harassment and other offences against the person",8
"19",2014,"Robbery, extortion and related offences",130
"19",2014,"Unlawful entry with intent",128
"19",2014,"Theft and related offences",33
"19",2014,"Fraud, deception and related offences",6
"19",2014,"Illicit drug offences",9
"19",2014,"Prohibited and regulated weapons and explosives offences",4
"19",2014,"Property damage and environmental pollution",9
"19",2014,"Public order offences",0
"19",2014,"Traffic and vehicle regulatory offences",4
"19",2014,"Offences against justice procedures",44
"19",2014,"Miscellaneous offences",0
"19",2015,"Homicide and related offences",12
"19",2015,"Acts intended to cause injury",163
"19",2015,"Sexual assault and related offences",29
"19",2015,"Dangerous or negligent acts endangering persons",18
"19",2015,"Abduction, harassment and other offences against the person",9
"19",2015,"Robbery, extortion and related offences",111
"19",2015,"Unlawful entry with intent",121
"19",2015,"Theft and related offences",28
"19",2015,"Fraud, deception and related offences",7
"19",2015,"Illicit drug offences",25
"19",2015,"Prohibited and regulated weapons and explosives offences",9
"19",2015,"Property damage and environmental pollution",15
"19",2015,"Public order offences",3
"19",2015,"Traffic and vehicle regulatory offences",3
"19",2015,"Offences against justice procedures",28
"19",2015,"Miscellaneous offences",0
"19",2016,"Homicide and related offences",20
"19",2016,"Acts intended to cause injury",129
"19",2016,"Sexual assault and related offences",33
"19",2016,"Dangerous or negligent acts endangering persons",26
"19",2016,"Abduction, harassment and other offences against the person",6
"19",2016,"Robbery, extortion and related offences",82
"19",2016,"Unlawful entry with intent",111
"19",2016,"Theft and related offences",36
"19",2016,"Fraud, deception and related offences",10
"19",2016,"Illicit drug offences",16
"19",2016,"Prohibited and regulated weapons and explosives offences",7
"19",2016,"Property damage and environmental pollution",11
"19",2016,"Public order offences",3
"19",2016,"Traffic and vehicle regulatory offences",7
"19",2016,"Offences against justice procedures",38
"19",2016,"Miscellaneous offences",3
"19",2017,"Homicide and related offences",14
"19",2017,"Acts intended to cause injury",188
"19",2017,"Sexual assault and related offences",30
"19",2017,"Dangerous or negligent acts endangering persons",33
"19",2017,"Abduction, harassment and other offences against the person",7
"19",2017,"Robbery, extortion and related offences",81
"19",2017,"Unlawful entry with intent",98
"19",2017,"Theft and related offences",30
"19",2017,"Fraud, deception and related offences",7
"19",2017,"Illicit drug offences",27
"19",2017,"Prohibited and regulated weapons and explosives offences",6
"19",2017,"Property damage and environmental pollution",14
"19",2017,"Public order offences",3
"19",2017,"Traffic and vehicle regulatory offences",3
"19",2017,"Offences against justice procedures",38
"19",2017,"Miscellaneous offences",0
"19",2018,"Homicide and related offences",17
"19",2018,"Acts intended to cause injury",148
"19",2018,"Sexual assault and related offences",34
"19",2018,"Dangerous or negligent acts endangering persons",25
"19",2018,"Abduction, harassment and other offences against the person",9
"19",2018,"Robbery, extortion and related offences",96
"19",2018,"Unlawful entry with intent",120
"19",2018,"Theft and related offences",33
"19",2018,"Fraud, deception and related offences",5
"19",2018,"Illicit drug offences",28
"19",2018,"Prohibited and regulated weapons and explosives offences",8
"19",2018,"Property damage and environmental pollution",13
"19",2018,"Public order offences",0
"19",2018,"Traffic and vehicle regulatory offences",4
"19",2018,"Offences against justice procedures",26
"19",2018,"Miscellaneous offences",0
"19",2019,"Homicide and related offences",24
"19",2019,"Acts intended to cause injury",157
"19",2019,"Sexual assault and related offences",29
"19",2019,"Dangerous or negligent acts endangering persons",28
"19",2019,"Abduction, harassment and other offences against the person",8
"19",2019,"Robbery, extortion and related offences",85
"19",2019,"Unlawful entry with intent",91
"19",2019,"Theft and related offences",20
"19",2019,"Fraud, deception and related offences",6
"19",2019,"Illicit drug offences",29
"19",2019,"Prohibited and regulated weapons and explosives offences",4
"19",2019,"Property damage and environmental pollution",13
"19",2019,"Public order offences",7
"19",2019,"Traffic and vehicle regulatory offences",0
"19",2019,"Offences against justice procedures",26
"19",2019,"Miscellaneous offences",0
"19",2020,"Homicide and related offences",28
"19",2020,"Acts intended to cause injury",141
"19",2020,"Sexual assault and related offences",27
"19",2020,"Dangerous or negligent acts endangering persons",29
"19",2020,"Abduction, harassment and other offences against the person",3
"19",2020,"Robbery, extortion and related offences",98
"19",2020,"Unlawful entry with intent",71
"19",2020,"Theft and related offences",21
"19",2020,"Fraud, deception and related offences",3
"19",2020,"Illicit drug offences",20
"19",2020,"Prohibited and regulated weapons and explosives offences",12
"19",2020,"Property damage and environmental pollution",3
"19",2020,"Public order offences",3
"19",2020,"Traffic and vehicle regulatory offences",0
"19",2020,"Offences against justice procedures",30
"19",2020,"Miscellaneous offences",0
"20–24",2011,"Homicide and related offences",272
"20–24",2011,"Acts intended to cause injury",1210
"20–24",2011,"Sexual assault and related offences",268
"20–24",2011,"Robbery, extortion and related offences",755
"20–24",2011,"Unlawful entry with intent",660
"20–24",2011,"Illicit drug offences",260
"20–24",2011,"Theft and related offences",152
"20–24",2011,"Miscellaneous offences",1085
"20–24",2012,"Homicide and related offences",238
"20–24",2012,"Acts intended to cause injury",1113
"20–24",2012,"Sexual assault and related offences",246
"20–24",2012,"Robbery, extortion and related offences",764
"20–24",2012,"Unlawful entry with intent",693
"20–24",2012,"Theft and related offences",180
"20–24",2012,"Illicit drug offences",289
"20–24",2012,"Offences against justice procedures",437
"20–24",2012,"Miscellaneous offences",480
"20–24",2013,"Homicide and related offences",239
"20–24",2013,"Acts intended to cause injury",1241
"20–24",2013,"Sexual assault and related offences",239
"20–24",2013,"Dangerous or negligent acts endangering persons",139
"20–24",2013,"Abduction, harassment and other offences against the person",54
"20–24",2013,"Robbery, extortion and related offences",828
"20–24",2013,"Unlawful entry with intent",653
"20–24",2013,"Theft and related offences",207
"20–24",2013,"Fraud, deception and related offences",42
"20–24",2013,"Illicit drug offences",285
"20–24",2013,"Prohibited and regulated weapons and explosives offences",45
"20–24",2013,"Property damage and environmental pollution",76
"20–24",2013,"Public order offences",28
"20–24",2013,"Traffic and vehicle regulatory offences",92
"20–24",2013,"Offences against justice procedures",476
"20–24",2013,"Miscellaneous offences",15
"20–24",2014,"Homicide and related offences",236
"20–24",2014,"Acts intended to cause injury",1377
"20–24",2014,"Sexual assault and related offences",242
"20–24",2014,"Dangerous or negligent acts endangering persons",167
"20–24",2014,"Abduction, harassment and other offences against the person",67
"20–24",2014,"Robbery, extortion and related offences",871
"20–24",2014,"Unlawful entry with intent",697
"20–24",2014,"Theft and related offences",181
"20–24",2014,"Fraud, deception and related offences",39
"20–24",2014,"Illicit drug offences",369
"20–24",2014,"Prohibited and regulated weapons and explosives offences",61
"20–24",2014,"Property damage and environmental pollution",80
"20–24",2014,"Public order offences",48
"20–24",2014,"Traffic and vehicle regulatory offences",91
"20–24",2014,"Offences against justice procedures",459
"20–24",2014,"Miscellaneous offences",15
"20–24",2015,"Homicide and related offences",239
"20–24",2015,"Acts intended to cause injury",1343
"20–24",2015,"Sexual assault and related offences",295
"20–24",2015,"Dangerous or negligent acts endangering persons",195
"20–24",2015,"Abduction, harassment and other offences against the person",73
"20–24",2015,"Robbery, extortion and related offences",837
"20–24",2015,"Unlawful entry with intent",710
"20–24",2015,"Theft and related offences",223
"20–24",2015,"Fraud, deception and related offences",60
"20–24",2015,"Illicit drug offences",459
"20–24",2015,"Prohibited and regulated weapons and explosives offences",89
"20–24",2015,"Property damage and environmental pollution",83
"20–24",2015,"Public order offences",41
"20–24",2015,"Traffic and vehicle regulatory offences",80
"20–24",2015,"Offences against justice procedures",430
"20–24",2015,"Miscellaneous offences",6
"20–24",2016,"Homicide and related offences",246
"20–24",2016,"Acts intended to cause injury",1364
"20–24",2016,"Sexual assault and related offences",317
"20–24",2016,"Dangerous or negligent acts endangering persons",249
"20–24",2016,"Abduction, harassment and other offences against the person",98
"20–24",2016,"Robbery, extortion and related offences",796
"20–24",2016,"Unlawful entry with intent",741
"20–24",2016,"Theft and related offences",257
"20–24",2016,"Fraud, deception and related offences",53
"20–24",2016,"Illicit drug offences",549
"20–24",2016,"Prohibited and regulated weapons and explosives offences",79
"20–24",2016,"Property damage and environmental pollution",102
"20–24",2016,"Public order offences",38
"20–24",2016,"Traffic and vehicle regulatory offences",81
"20–24",2016,"Offences against justice procedures",489
"20–24",2016,"Miscellaneous offences",11
"20–24",2017,"Homicide and related offences",250
"20–24",2017,"Acts intended to cause injury",1511
"20–24",2017,"Sexual assault and related offences",306
"20–24",2017,"Dangerous or negligent acts endangering persons",280
"20–24",2017,"Abduction, harassment and other offences against the person",89
"20–24",2017,"Robbery, extortion and related offences",705
"20–24",2017,"Unlawful entry with intent",724
"20–24",2017,"Theft and related offences",239
"20–24",2017,"Fraud, deception and related offences",69
"20–24",2017,"Illicit drug offences",600
"20–24",2017,"Prohibited and regulated weapons and explosives offences",75
"20–24",2017,"Property damage and environmental pollution",71
"20–24",2017,"Public order offences",45
"20–24",2017,"Traffic and vehicle regulatory offences",58
"20–24",2017,"Offences against justice procedures",456
"20–24",2017,"Miscellaneous offences",9
"20–24",2018,"Homicide and related offences",196
"20–24",2018,"Acts intended to cause injury",1480
"20–24",2018,"Sexual assault and related offences",332
"20–24",2018,"Dangerous or negligent acts endangering persons",328
"20–24",2018,"Abduction, harassment and other offences against the person",72
"20–24",2018,"Robbery, extortion and related offences",729
"20–24",2018,"Unlawful entry with intent",682
"20–24",2018,"Theft and related offences",176
"20–24",2018,"Fraud, deception and related offences",57
"20–24",2018,"Illicit drug offences",630
"20–24",2018,"Prohibited and regulated weapons and explosives offences",81
"20–24",2018,"Property damage and environmental pollution",88
"20–24",2018,"Public order offences",37
"20–24",2018,"Traffic and vehicle regulatory offences",59
"20–24",2018,"Offences against justice procedures",421
"20–24",2018,"Miscellaneous offences",4
"20–24",2019,"Homicide and related offences",219
"20–24",2019,"Acts intended to cause injury",1459
"20–24",2019,"Sexual assault and related offences",358
"20–24",2019,"Dangerous or negligent acts endangering persons",301
"20–24",2019,"Abduction, harassment and other offences against the person",61
"20–24",2019,"Robbery, extortion and related offences",704
"20–24",2019,"Unlawful entry with intent",666
"20–24",2019,"Theft and related offences",206
"20–24",2019,"Fraud, deception and related offences",54
"20–24",2019,"Illicit drug offences",534
"20–24",2019,"Prohibited and regulated weapons and explosives offences",114
"20–24",2019,"Property damage and environmental pollution",77
"20–24",2019,"Public order offences",28
"20–24",2019,"Traffic and vehicle regulatory offences",42
"20–24",2019,"Offences against justice procedures",436
"20–24",2019,"Miscellaneous offences",7
"20–24",2020,"Homicide and related offences",202
"20–24",2020,"Acts intended to cause injury",1337
"20–24",2020,"Sexual assault and related offences",333
"20–24",2020,"Dangerous or negligent acts endangering persons",247
"20–24",2020,"Abduction, harassment and other offences against the person",72
"20–24",2020,"Robbery, extortion and related offences",678
"20–24",2020,"Unlawful entry with intent",610
"20–24",2020,"Theft and related offences",154
"20–24",2020,"Fraud, deception and related offences",32
"20–24",2020,"Illicit drug offences",455
"20–24",2020,"Prohibited and regulated weapons and explosives offences",88
"20–24",2020,"Property damage and environmental pollution",89
"20–24",2020,"Public order offences",25
"20–24",2020,"Traffic and vehicle regulatory offences",19
"20–24",2020,"Offences against justice procedures",409
"20–24",2020,"Miscellaneous offences",8
"25–29",2011,"Homicide and related offences",368
"25–29",2011,"Acts intended to cause injury",1221
"25–29",2011,"Sexual assault and related offences",375
"25–29",2011,"Robbery, extortion and related offences",610
"25–29",2011,"Unlawful entry with intent",694
"25–29",2011,"Illicit drug offences",491
"25–29",2011,"Theft and related offences",243
"25–29",2011,"Miscellaneous offences",1241
"25–29",2012,"Homicide and related offences",369
"25–29",2012,"Acts intended to cause injury",1233
"25–29",2012,"Sexual assault and related offences",355
"25–29",2012,"Robbery, extortion and related offences",632
"25–29",2012,"Unlawful entry with intent",698
"25–29",2012,"Theft and related offences",250
"25–29",2012,"Illicit drug offences",477
"25–29",2012,"Offences against justice procedures",535
"25–29",2012,"Miscellaneous offences",665
"25–29",2013,"Homicide and related offences",364
"25–29",2013,"Acts intended to cause injury",1279
"25–29",2013,"Sexual assault and related offences",340
"25–29",2013,"Dangerous or negligent acts endangering persons",156
"25–29",2013,"Abduction, harassment and other offences against the person",93
"25–29",2013,"Robbery, extortion and related offences",634
"25–29",2013,"Unlawful entry with intent",760
"25–29",2013,"Theft and related offences",223
"25–29",2013,"Fraud, deception and related offences",89
"25–29",2013,"Illicit drug offences",529
"25–29",2013,"Prohibited and regulated weapons and explosives offences",75
"25–29",2013,"Property damage and environmental pollution",58
"25–29",2013,"Public order offences",35
"25–29",2013,"Traffic and vehicle regulatory offences",167
"25–29",2013,"Offences against justice procedures",632
"25–29",2013,"Miscellaneous offences",11
"25–29",2014,"Homicide and related offences",367
"25–29",2014,"Acts intended to cause injury",1449
"25–29",2014,"Sexual assault and related offences",365
"25–29",2014,"Dangerous or negligent acts endangering persons",203
"25–29",2014,"Abduction, harassment and other offences against the person",80
"25–29",2014,"Robbery, extortion and related offences",706
"25–29",2014,"Unlawful entry with intent",841
"25–29",2014,"Theft and related offences",281
"25–29",2014,"Fraud, deception and related offences",102
"25–29",2014,"Illicit drug offences",632
"25–29",2014,"Prohibited and regulated weapons and explosives offences",89
"25–29",2014,"Property damage and environmental pollution",102
"25–29",2014,"Public order offences",39
"25–29",2014,"Traffic and vehicle regulatory offences",170
"25–29",2014,"Offences against justice procedures",653
"25–29",2014,"Miscellaneous offences",15
"25–29",2015,"Homicide and related offences",363
"25–29",2015,"Acts intended to cause injury",1563
"25–29",2015,"Sexual assault and related offences",366
"25–29",2015,"Dangerous or negligent acts endangering persons",240
"25–29",2015,"Abduction, harassment and other offences against the person",107
"25–29",2015,"Robbery, extortion and related offences",742
"25–29",2015,"Unlawful entry with intent",805
"25–29",2015,"Theft and related offences",306
"25–29",2015,"Fraud, deception and related offences",97
"25–29",2015,"Illicit drug offences",805
"25–29",2015,"Prohibited and regulated weapons and explosives offences",128
"25–29",2015,"Property damage and environmental pollution",101
"25–29",2015,"Public order offences",39
"25–29",2015,"Traffic and vehicle regulatory offences",150
"25–29",2015,"Offences against justice procedures",662
"25–29",2015,"Miscellaneous offences",17
"25–29",2016,"Homicide and related offences",359
"25–29",2016,"Acts intended to cause injury",1814
"25–29",2016,"Sexual assault and related offences",379
"25–29",2016,"Dangerous or negligent acts endangering persons",279
"25–29",2016,"Abduction, harassment and other offences against the person",120
"25–29",2016,"Robbery, extortion and related offences",708
"25–29",2016,"Unlawful entry with intent",839
"25–29",2016,"Theft and related offences",348
"25–29",2016,"Fraud, deception and related offences",134
"25–29",2016,"Illicit drug offences",957
"25–29",2016,"Prohibited and regulated weapons and explosives offences",139
"25–29",2016,"Property damage and environmental pollution",105
"25–29",2016,"Public order offences",40
"25–29",2016,"Traffic and vehicle regulatory offences",157
"25–29",2016,"Offences against justice procedures",663
"25–29",2016,"Miscellaneous offences",19
"25–29",2017,"Homicide and related offences",372
"25–29",2017,"Acts intended to cause injury",1966
"25–29",2017,"Sexual assault and related offences",402
"25–29",2017,"Dangerous or negligent acts endangering persons",369
"25–29",2017,"Abduction, harassment and other offences against the person",145
"25–29",2017,"Robbery, extortion and related offences",724
"25–29",2017,"Unlawful entry with intent",839
"25–29",2017,"Theft and related offences",337
"25–29",2017,"Fraud, deception and related offences",124
"25–29",2017,"Illicit drug offences",1168
"25–29",2017,"Prohibited and regulated weapons and explosives offences",163
"25–29",2017,"Property damage and environmental pollution",90
"25–29",2017,"Public order offences",44
"25–29",2017,"Traffic and vehicle regulatory offences",138
"25–29",2017,"Offences against justice procedures",632
"25–29",2017,"Miscellaneous offences",10
"25–29",2018,"Homicide and related offences",408
"25–29",2018,"Acts intended to cause injury",2054
"25–29",2018,"Sexual assault and related offences",486
"25–29",2018,"Dangerous or negligent acts endangering persons",418
"25–29",2018,"Abduction, harassment and other offences against the person",126
"25–29",2018,"Robbery, extortion and related offences",766
"25–29",2018,"Unlawful entry with intent",831
"25–29",2018,"Theft and related offences",322
"25–29",2018,"Fraud, deception and related offences",144
"25–29",2018,"Illicit drug offences",1275
"25–29",2018,"Prohibited and regulated weapons and explosives offences",217
"25–29",2018,"Property damage and environmental pollution",113
"25–29",2018,"Public order offences",54
"25–29",2018,"Traffic and vehicle regulatory offences",118
"25–29",2018,"Offences against justice procedures",577
"25–29",2018,"Miscellaneous offences",10
"25–29",2019,"Homicide and related offences",395
"25–29",2019,"Acts intended to cause injury",2060
"25–29",2019,"Sexual assault and related offences",518
"25–29",2019,"Dangerous or negligent acts endangering persons",403
"25–29",2019,"Abduction, harassment and other offences against the person",135
"25–29",2019,"Robbery, extortion and related offences",723
"25–29",2019,"Unlawful entry with intent",806
"25–29",2019,"Theft and related offences",327
"25–29",2019,"Fraud, deception and related offences",108
"25–29",2019,"Illicit drug offences",1201
"25–29",2019,"Prohibited and regulated weapons and explosives offences",185
"25–29",2019,"Property damage and environmental pollution",123
"25–29",2019,"Public order offences",34
"25–29",2019,"Traffic and vehicle regulatory offences",111
"25–29",2019,"Offences against justice procedures",619
"25–29",2019,"Miscellaneous offences",13
"25–29",2020,"Homicide and related offences",383
"25–29",2020,"Acts intended to cause injury",1926
"25–29",2020,"Sexual assault and related offences",536
"25–29",2020,"Dangerous or negligent acts endangering persons",384
"25–29",2020,"Abduction, harassment and other offences against the person",112
"25–29",2020,"Robbery, extortion and related offences",737
"25–29",2020,"Unlawful entry with intent",731
"25–29",2020,"Theft and related offences",249
"25–29",2020,"Fraud, deception and related offences",92
"25–29",2020,"Illicit drug offences",1102
"25–29",2020,"Prohibited and regulated weapons and explosives offences",175
"25–29",2020,"Property damage and environmental pollution",112
"25–29",2020,"Public order offences",21
"25–29",2020,"Traffic and vehicle regulatory offences",66
"25–29",2020,"Offences against justice procedures",600
"25–29",2020,"Miscellaneous offences",13
"30–34",2011,"Homicide and related offences",436
"30–34",2011,"Acts intended to cause injury",938
"30–34",2011,"Sexual assault and related offences",385
"30–34",2011,"Robbery, extortion and related offences",526
"30–34",2011,"Unlawful entry with intent",708
"30–34",2011,"Illicit drug offences",546
"30–34",2011,"Theft and related offences",237
"30–34",2011,"Miscellaneous offences",1179
"30–34",2012,"Homicide and related offences",430
"30–34",2012,"Acts intended to cause injury",1070
